Legislation Name,Congress ,Month-Day H,Month-Day S,Year,Bill,Vote # H,Vote # S,Description/Notes,Supports Free Trade,House,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party H,Bipartisanship Score (H),% of Dem vote Free Trade,% of Rep vote Free Trade,Senate,Passed or Failed,Dem Yeas-Nays,Rep Yeas-Nays,Minority Party S,Bipartisanship Score (S),% of Dem vote Free Trade,% of Rep vote Free Trade,Source,voteview link,Notes
FTA Peru,110,11-8,12-4,2007,H.R. 3688,1060,413,FTA Implementation Act,TRUE,286-132  ,Passed,109-116,177-16,Republican,0.917,0.484,0.880,78-18 ,Passed,30-16,48-1,Republican,0.9795918367,0.65,0.98,https://www.congress.gov/bill/110th-congress/house-bill/3688?q=%7B%22search%22%3A%22H.R.+3688%22%7D&s=1&r=1,"https://voteview.com/rollcall/RH1101053 , https://voteview.com/rollcall/RS1100413 ",
FTA Colombia,110,4-10,N/A,2008,H. Res. 1092,181,N/A,Resolution to suspend TPA consideration of Columbia FTA Implentation bill,TRUE,224-196,Agreed,218-10,6-186,Republican,0.03125,0.956,0.03141361257,N/A,N/A,,,Republican,,,,https://www.congress.gov/bill/110th-congress/house-resolution/1092?q=%7B%22search%22%3A%22H.+Res.+1092%22%7D&s=2&r=1,https://voteview.com/search/H.%20Res.%201092,
FTA Panama,112,10-12,10-12,2011,H.R. 3079,782,162,FTA Implementation Act,TRUE,301-129,Passed,67-123,234-6,Democrat,0.3526315789,0.349,0.975,78-22,Passed,32-21,46-0,Republican,1,0.58,1,https://www.congress.gov/bill/112th-congress/house-bill/3079?q=%7B%22search%22%3A%22H.R.+3079%22%7D&s=4&r=1,"https://voteview.com/rollcall/RH1101356, https://voteview.com/rollcall/RH1120778",
FTA South Korea,112,10-12,10-12,2011,H.R. 3080,783,161,FTA Implementation Act,TRUE,279-151 ,Passed,60-130,219-21,Democrat,0.3157894737,0.3121693122,0.9125,84-15,Passed,39-14,45-1,Republican,0.9782608696,0.72,0.98,https://www.congress.gov/bill/112th-congress/house-bill/3080?q=%7B%22search%22%3A%22H.R.+3080%22%7D&s=7&r=1,"https://voteview.com/rollcall/RH1120779, https://voteview.com/rollcall/RH1120779 ",
FTA Colombia,112,10-12,10-12,2011,H.R. 3078,781,163,FTA Implementation Act,TRUE,263-167 ,Passed,32-158,231-9,Democrat,0.1684210526,0.164021164,0.9625,67-33,Passed,23-30,44-2,Republican,0.9565217391,0.41,0.95,https://www.congress.gov/bill/112th-congress/house-bill/3078?q=%7B%22search%22%3A%22H.R.+3078%22%7D&s=4&r=1,"https://voteview.com/rollcall/RS1120161 , https://voteview.com/rollcall/RH1120777 ",
"Bipartisan
Congressional Trade
Priorities and
Accountability Act of
2015",114,,,2015,H.R. 2146,,,"Extends TPA to include the Trans-Pacific Partnership negotiations, USMCA, and other prospective FTAs. TPA provisions expired July 1, 2021.",TRUE,218-208 ,Passed,,,Democrat,,,,60-38 ,,,,Democrat,,,,https://voteview.com/rollcall/RH1170747,https://voteview.com/rollcall/RH1170747,"This bill was packaged with other policies, so it was not included in the final regression"
Miscellaneous Tariff Bill Act of 2018,115,1-16,N/A,2018,H.R.4318,18,,Amends U.S. tariff laws to repeal expired duty reductions and temporarily suspend or reduce tariffs on specified chemicals and items through 12/31/2020. Also extends authority to collect customs user fees through 10/13/2027.,EITHER,402-0,Passed,180-0,222-0,Democrat,1,,,N/A,,,,Democrat,,,,https://www.congress.gov/bill/115th-congress/house-bill/4318?s=4&r=4&q=%7B%22search%22%3A%22Tariff%22%7D,https://voteview.com/search/HR4318,
USMCA,116,12-19 (2019),1-16,2020,H.R. 5430,701,14,FTA Implementation Act,TRUE,386-41,Passed,193-38,193-2,Republican,0.9897435897,0.8354978355,0.9897435897,90-10 ,Passed,37-8,52-1,Democrat,0.8222222222,0.83,0.98,https://www.congress.gov/bill/116th-congress/house-bill/5430?q=%7B%22search%22%3A%22H.R.+5430%22%7D&s=6&r=1,"https://voteview.com/rollcall/RH1160700,  https://voteview.com/rollcall/RS1160442 ",
Reaffirming the economic partnership between the United States and the Caribbean nations,117,7-12,N/A,2022,H.Res.1168,300,N/A,encourages further enhancing trade programs between the Caribbean and the United States. It also urges the President to prioritize and implement trade programs with the Caribbean region that promote sustainable and resilient economic development.,TRUE,351-64 ,Passed,213-0,138-64,Republican,0.6831683168,1,0.6798029557,N/A,,,,Republican,,,,https://www.congress.gov/bill/117th-congress/house-resolution/1168/text?s=8&r=3&q=%7B%22search%22%3A%22Tariff%22%7D,https://voteview.com/rollcall/RH1150726,
Reversing Solar Tariff Pause,118,4-28,5-3,2023,H.J.Res.39,202,109,"Reverses a rule that waived tariffs on some solar panels made in Southeast Asia using Chinese parts, restoring potential trade penalties. This bill failed to overturn president's veto",FALSE,212-202 ,Passed,12-194,209-8,Democrat,0.05825242718,0.9417475728,0.03686635945,56-41 ,Passed,9-37,47-1,Republican,0.9791666667,0.8,0.02,https://www.congress.gov/bill/118th-congress/house-joint-resolution/39/text,,
